id,user,created_at,text
1049808464778805249,JanetPursley,2018-10-09 23:46:57,RT Obama s Benghazi Body Bags No Mere Conspiracy Theory American Thinker obama obamagate B
1049808315864080384,Alleygarcia3,2018-10-09 23:46:21,RT Incredible how spewing disunity she sure doesn t get it We are United States of America We had enough
1049808271253561344,ReportBlags,2018-10-09 23:46:11,How Obama helped Iran develop nuclear weapons Another headline for you EnemyofthePeople Traitors FakeNews
1049808144933650432,resistant108,2018-10-09 23:45:40,RT Obama s National Monuments are a Big Deal And many of these are being targeted by the Trump administration for a size
1049807613091860481,MiguelEngeel,2018-10-09 23:43:34,RT Esta con el EstadoProfundo Soros Obama Bush Clinton Esta Usando a EEUU El Jueg
1049807612005494785,RedEnsignForevr,2018-10-09 23:43:33,RT racism WOW HillaryClinton amp Obama CENSORED FreeSpeech by ASKING YouTube to BLOCK Muslim video they BLAMED for Benghazi
1049800794336321537,My_Goa_,2018-10-09 23:16:28,RT Times CM may be discharged from AIIMS in first week of November Goanews NavhindTimes Goa
1049800580028338177,My_Goa_,2018-10-09 23:15:37,RT Times Draft CZMP riddled with errors Goanews NavhindTimes Goa
1049792294046625797,Subcontractsind,2018-10-09 22:42:41,RT India Mumbai Bangalore Delhi Ahmedabad Lucknow Bihar Assam Meghalaya Nagaland manipur mizoram Tripura ar
1049792004446674944,Right_Meowth,2018-10-09 22:41:32,We are live over at right now Come drop by and see what we are up to tonight and hang out
1049791258292498432,ChaitanyaDungu1,2018-10-09 22:38:34,RT Lifting of stockpiled ironore dumps needs to be done mining Goa GoaMining gadkari
1049790834852298752,AichManoranjan,2018-10-09 22:36:53,RT Hon ble Rajya Sabha MP from Goa Shri Vinay Tendulkar Promising to stand with mining dependents before lord Ganesh We hope
1049790760474660864,AichManoranjan,2018-10-09 22:36:36,RT highlighting the hardships faced by GoaMining dependents due to the ban imposed on mining activities in Go
1049789111094132739,GoaComputers,2018-10-09 22:30:02,Lenovo Ideapad 310 80SM01EUIH Laptop on Sale at GoaComputers in Online Lenovo Store Goa
